spot_id,location_name,ward,timestamp_ist,latitude,longitude,ground_elevation_m,hourly_rainfall_mm,tide_level_m,water_depth_cm,alert_status
WL_HND_01,Hindmata Cinema Junction,F/S,2024-07-01 00:00:00,19.0125,72.8432,2.2,1.7,1.6,1.5,NORMAL_CLEAR
WL_HND_01,Hindmata Cinema Junction,F/S,2024-07-01 00:15:00,19.0125,72.8432,2.2,1.7,1.6,0.4,NORMAL_CLEAR
WL_HND_01,Hindmata Cinema Junction,F/S,2024-07-01 00:30:00,19.0125,72.8432,2.2,1.7,1.6,0.7,NORMAL_CLEAR
WL_HND_01,Hindmata Cinema Junction,F/S,2024-07-01 00:45:00,19.0125,72.8432,2.2,1.7,1.6,0.8,NORMAL_CLEAR
WL_HND_01,Hindmata Cinema Junction,F/S,2024-07-01 01:00:00,19.0125,72.8432,2.2,2.8,2.46,0.2,NORMAL_CLEAR
WL_HND_01,Hindmata Cinema Junction,F/S,2024-07-01 01:15:00,19.0125,72.8432,2.2,2.8,2.46,0.4,NORMAL_CLEAR
WL_HND_01,Hindmata Cinema Junction,F/S,2024-07-01 01:30:00,19.0125,72.8432,2.2,2.8,2.46,0.9,NORMAL_CLEAR
WL_HND_01,Hindmata Cinema Junction,F/S,2024-07-01 01:45:00,19.0125,72.8432,2.2,2.8,2.46,0.6,NORMAL_CLEAR
WL_HND_01,Hindmata Cinema Junction,F/S,2024-07-01 02:00:00,19.0125,72.8432,2.2,1.9,3.38,0.7,NORMAL_CLEAR
WL_HND_01,Hindmata Cinema Junction,F/S,2024-07-01 02:15:00,19.0125,72.8432,2.2,1.9,3.38,0.7,NORMAL_CLEAR
WL_HND_01,Hindmata Cinema Junction,F/S,2024-07-01 02:30:00,19.0125,72.8432,2.2,1.9,3.38,1.8,NORMAL_CLEAR
WL_HND_01,Hindmata Cinema Junction,F/S,2024-07-01 02:45:00,19.0125,72.8432,2.2,1.9,3.38,0.9,NORMAL_CLEAR
WL_HND_01,Hindmata Cinema Junction,F/S,2024-07-01 03:00:00,19.0125,72.8432,2.2,2.6,4.01,2.0,NORMAL_CLEAR
WL_HND_01,Hindmata Cinema Junction,F/S,2024-07-01 03:15:00,19.0125,72.8432,2.2,2.6,4.01,1.0,NORMAL_CLEAR
WL_HND_01,Hindmata Cinema Junction,F/S,2024-07-01 03:30:00,19.0125,72.8432,2.2,2.6,4.01,0.5,NORMAL_CLEAR
WL_HND_01,Hindmata Cinema Junction,F/S,2024-07-01 03:45:00,19.0125,72.8432,2.2,2.6,4.01,1.9,NORMAL_CLEAR
WL_HND_01,Hindmata Cinema Junction,F/S,2024-07-01 04:00:00,19.0125,72.8432,2.2,1.4,4.34,0.9,NORMAL_CLEAR
WL_HND_01,Hindmata Cinema Junction,F/S,2024-07-01 04:15:00,19.0125,72.8432,2.2,1.4,4.34,1.3,NORMAL_CLEAR
WL_HND_01,Hindmata Cinema Junction,F/S,2024-07-01 04:30:00,19.0125,72.8432,2.2,1.4,4.34,2.0,NORMAL_CLEAR
WL_HND_01,Hindmata Cinema Junction,F/S,2024-07-01 04:45:00,19.0125,72.8432,2.2,1.4,4.34,0.1,NORMAL_CLEAR
WL_HND_01,Hindmata Cinema Junction,F/S,2024-07-01 05:00:00,19.0125,72.8432,2.2,2.9,3.98,1.9,NORMAL_CLEAR
WL_HND_01,Hindmata Cinema Junction,F/S,2024-07-01 05:15:00,19.0125,72.8432,2.2,2.9,3.98,1.9,NORMAL_CLEAR
WL_HND_01,Hindmata Cinema Junction,F/S,2024-07-01 05:30:00,19.0125,72.8432,2.2,2.9,3.98,0.8,NORMAL_CLEAR
WL_HND_01,Hindmata Cinema Junction,F/S,2024-07-01 05:45:00,19.0125,72.8432,2.2,2.9,3.98,1.7,NORMAL_CLEAR
WL_HND_01,Hindmata Cinema Junction,F/S,2024-07-01 06:00:00,19.0125,72.8432,2.2,7.9,3.38,5.8,ADVISORY_SLOW_TRAFFIC
WL_HND_01,Hindmata Cinema Junction,F/S,2024-07-01 06:15:00,19.0125,72.8432,2.2,7.9,3.38,4.1,NORMAL_CLEAR
WL_HND_01,Hindmata Cinema Junction,F/S,2024-07-01 06:30:00,19.0125,72.8432,2.2,7.9,3.38,6.0,ADVISORY_SLOW_TRAFFIC
WL_HND_01,Hindmata Cinema Junction,F/S,2024-07-01 06:45:00,19.0125,72.8432,2.2,7.9,3.38,4.6,NORMAL_CLEAR
WL_HND_01,Hindmata Cinema Junction,F/S,2024-07-01 07:00:00,19.0125,72.8432,2.2,7.9,2.58,3.9,NORMAL_CLEAR
WL_HND_01,Hindmata Cinema Junction,F/S,2024-07-01 07:15:00,19.0125,72.8432,2.2,7.9,2.58,6.0,ADVISORY_SLOW_TRAFFIC
WL_HND_01,Hindmata Cinema Junction,F/S,2024-07-01 07:30:00,19.0125,72.8432,2.2,7.9,2.58,4.1,NORMAL_CLEAR
WL_HND_01,Hindmata Cinema Junction,F/S,2024-07-01 07:45:00,19.0125,72.8432,2.2,7.9,2.58,5.1,ADVISORY_SLOW_TRAFFIC
WL_HND_01,Hindmata Cinema Junction,F/S,2024-07-01 08:00:00,19.0125,72.8432,2.2,5.8,1.67,3.3,NORMAL_CLEAR
WL_HND_01,Hindmata Cinema Junction,F/S,2024-07-01 08:15:00,19.0125,72.8432,2.2,5.8,1.67,3.3,NORMAL_CLEAR
WL_HND_01,Hindmata Cinema Junction,F/S,2024-07-01 08:30:00,19.0125,72.8432,2.2,5.8,1.67,2.4,NORMAL_CLEAR
WL_HND_01,Hindmata Cinema Junction,F/S,2024-07-01 08:45:00,19.0125,72.8432,2.2,5.8,1.67,4.7,NORMAL_CLEAR
WL_HND_01,Hindmata Cinema Junction,F/S,2024-07-01 09:00:00,19.0125,72.8432,2.2,8.6,0.91,6.7,ADVISORY_SLOW_TRAFFIC
WL_HND_01,Hindmata Cinema Junction,F/S,2024-07-01 09:15:00,19.0125,72.8432,2.2,8.6,0.91,5.6,ADVISORY_SLOW_TRAFFIC
WL_HND_01,Hindmata Cinema Junction,F/S,2024-07-01 09:30:00,19.0125,72.8432,2.2,8.6,0.91,6.8,ADVISORY_SLOW_TRAFFIC
WL_HND_01,Hindmata Cinema Junction,F/S,2024-07-01 09:45:00,19.0125,72.8432,2.2,8.6,0.91,7.1,ADVISORY_SLOW_TRAFFIC
WL_HND_01,Hindmata Cinema Junction,F/S,2024-07-01 10:00:00,19.0125,72.8432,2.2,6.5,0.78,3.0,NORMAL_CLEAR
WL_HND_01,Hindmata Cinema Junction,F/S,2024-07-01 10:15:00,19.0125,72.8432,2.2,6.5,0.78,4.0,NORMAL_CLEAR
