timestamp,tide_height_meters,tide_type,is_spring_tide,coastal_flood_risk_level,flap_gate_closure_required
2021-06-01 00:00:00,0.8,High Tide,False,Normal,False
2021-06-01 06:00:00,4.46,Low Tide,True,High,True
2021-06-01 12:00:00,0.78,High Tide,False,Normal,False
2021-06-01 18:00:00,3.98,Low Tide,False,Normal,True
2021-06-02 00:00:00,0.84,High Tide,False,Normal,False
2021-06-02 06:00:00,3.84,Low Tide,False,Normal,True
2021-06-02 12:00:00,1.31,High Tide,False,Normal,False
2021-06-02 18:00:00,3.77,Low Tide,False,Normal,False
2021-06-03 00:00:00,1.75,High Tide,False,Normal,False
2021-06-03 06:00:00,3.13,Low Tide,False,Normal,False
2021-06-03 12:00:00,2.16,High Tide,False,Normal,False
2021-06-03 18:00:00,2.73,Low Tide,False,Normal,False
2021-06-04 00:00:00,2.12,High Tide,False,Normal,False
2021-06-04 06:00:00,2.53,Low Tide,False,Normal,False
2021-06-04 12:00:00,2.7,High Tide,False,Normal,False
2021-06-04 18:00:00,2.2,Low Tide,False,Normal,False
2021-06-05 00:00:00,2.87,High Tide,False,Normal,False
2021-06-05 06:00:00,1.81,Low Tide,False,Normal,False
2021-06-05 12:00:00,3.47,High Tide,False,Normal,False
2021-06-05 18:00:00,1.54,Low Tide,False,Normal,False
2021-06-06 00:00:00,3.65,High Tide,False,Normal,False
2021-06-06 06:00:00,1.25,Low Tide,False,Normal,False
2021-06-06 12:00:00,4.06,High Tide,False,High,True
2021-06-06 18:00:00,0.8,Low Tide,False,Normal,False
2021-06-07 00:00:00,4.22,High Tide,True,High,True
2021-06-07 06:00:00,0.94,Low Tide,False,Normal,False
2021-06-07 12:00:00,4.19,High Tide,False,High,True
2021-06-07 18:00:00,0.61,Low Tide,False,Normal,False
2021-06-08 00:00:00,4.27,High Tide,True,High,True
2021-06-08 06:00:00,0.75,Low Tide,False,Normal,False
2021-06-08 12:00:00,4.06,High Tide,False,High,True
2021-06-08 18:00:00,0.62,Low Tide,False,Normal,False
2021-06-09 00:00:00,4.3,High Tide,True,High,True
2021-06-09 06:00:00,0.87,Low Tide,False,Normal,False
2021-06-09 12:00:00,4.04,High Tide,False,High,True
2021-06-09 18:00:00,1.2,Low Tide,False,Normal,False
2021-06-10 00:00:00,3.52,High Tide,False,Normal,False
2021-06-10 06:00:00,1.43,Low Tide,False,Normal,False
2021-06-10 12:00:00,3.55,High Tide,False,Normal,False
2021-06-10 18:00:00,1.95,Low Tide,False,Normal,False
2021-06-11 00:00:00,2.83,High Tide,False,Normal,False
2021-06-11 06:00:00,2.2,Low Tide,False,Normal,False
2021-06-11 12:00:00,2.81,High Tide,False,Normal,False
2021-06-11 18:00:00,2.76,Low Tide,False,Normal,False
2021-06-12 00:00:00,2.3,High Tide,False,Normal,False
2021-06-12 06:00:00,2.8,Low Tide,False,Normal,False
2021-06-12 12:00:00,1.94,High Tide,False,Normal,False
2021-06-12 18:00:00,3.55,Low Tide,False,Normal,False
2021-06-13 00:00:00,1.63,High Tide,False,Normal,False
2021-06-13 06:00:00,3.46,Low Tide,False,Normal,False
2021-06-13 12:00:00,1.23,High Tide,False,Normal,False
2021-06-13 18:00:00,3.79,Low Tide,False,Normal,False
2021-06-14 00:00:00,1.18,High Tide,False,Normal,False
2021-06-14 06:00:00,4.07,Low Tide,False,High,True
2021-06-14 12:00:00,0.89,High Tide,False,Normal,False
2021-06-14 18:00:00,4.17,Low Tide,False,High,True
2021-06-15 00:00:00,0.54,High Tide,False,Normal,False
2021-06-15 06:00:00,4.53,Low Tide,True,Critical,True
2021-06-15 12:00:00,0.77,High Tide,False,Normal,False
2021-06-15 18:00:00,4.46,Low Tide,True,High,True
2021-06-16 00:00:00,0.71,High Tide,False,Normal,False
2021-06-16 06:00:00,3.98,Low Tide,False,Normal,True
2021-06-16 12:00:00,1.04,High Tide,False,Normal,False
2021-06-16 18:00:00,3.97,Low Tide,False,Normal,True
2021-06-17 00:00:00,1.04,High Tide,False,Normal,False
2021-06-17 06:00:00,3.78,Low Tide,False,Normal,False
2021-06-17 12:00:00,1.43,High Tide,False,Normal,False
2021-06-17 18:00:00,3.57,Low Tide,False,Normal,False
2021-06-18 00:00:00,1.87,High Tide,False,Normal,False
2021-06-18 06:00:00,3.23,Low Tide,False,Normal,False
2021-06-18 12:00:00,2.23,High Tide,False,Normal,False
2021-06-18 18:00:00,2.59,Low Tide,False,Normal,False
2021-06-19 00:00:00,2.46,High Tide,False,Normal,False
2021-06-19 06:00:00,2.21,Low Tide,False,Normal,False
2021-06-19 12:00:00,2.9,High Tide,False,Normal,False
2021-06-19 18:00:00,1.93,Low Tide,False,Normal,False
2021-06-20 00:00:00,3.08,High Tide,False,Normal,False
2021-06-20 06:00:00,1.64,Low Tide,False,Normal,False
2021-06-20 12:00:00,3.63,High Tide,False,Normal,False
2021-06-20 18:00:00,1.44,Low Tide,False,Normal,False
2021-06-21 00:00:00,3.82,High Tide,False,Normal,True
2021-06-21 06:00:00,1.18,Low Tide,False,Normal,False
2021-06-21 12:00:00,4.25,High Tide,True,High,True
2021-06-21 18:00:00,0.94,Low Tide,False,Normal,False
2021-06-22 00:00:00,4.2,High Tide,False,High,True
2021-06-22 06:00:00,0.65,Low Tide,False,Normal,False
2021-06-22 12:00:00,4.14,High Tide,False,High,True
2021-06-22 18:00:00,0.95,Low Tide,False,Normal,False
2021-06-23 00:00:00,4.46,High Tide,True,High,True
