timestamp_ist,station,latitude,longitude,precipitation_mm,rain_mm,surface_pressure_hpa,cloud_cover_pct,wind_speed_kmh,soil_moisture_m3m3
2023-06-01T00:00,Santacruz_AWS,19.1197,72.8468,0.0,0.0,1005.7,0,10.2,0.115
2023-06-01T01:00,Santacruz_AWS,19.1197,72.8468,0.0,0.0,1005.4,9,10.6,0.115
2023-06-01T02:00,Santacruz_AWS,19.1197,72.8468,0.0,0.0,1005.1,6,8.3,0.115
2023-06-01T03:00,Santacruz_AWS,19.1197,72.8468,0.0,0.0,1005.2,13,5.8,0.115
2023-06-01T04:00,Santacruz_AWS,19.1197,72.8468,0.0,0.0,1005.6,16,7.2,0.115
2023-06-01T05:00,Santacruz_AWS,19.1197,72.8468,0.0,0.0,1006.4,3,3.7,0.115
2023-06-01T06:00,Santacruz_AWS,19.1197,72.8468,0.0,0.0,1006.7,4,5.3,0.115
2023-06-01T07:00,Santacruz_AWS,19.1197,72.8468,0.0,0.0,1007.4,7,5.5,0.115
2023-06-01T08:00,Santacruz_AWS,19.1197,72.8468,0.0,0.0,1007.7,6,3.3,0.115
2023-06-01T09:00,Santacruz_AWS,19.1197,72.8468,0.0,0.0,1008.0,4,2.2,0.115
2023-06-01T10:00,Santacruz_AWS,19.1197,72.8468,0.0,0.0,1008.1,7,9.0,0.115
2023-06-01T11:00,Santacruz_AWS,19.1197,72.8468,0.0,0.0,1007.8,9,13.7,0.115
2023-06-01T12:00,Santacruz_AWS,19.1197,72.8468,0.0,0.0,1007.1,0,16.5,0.115
2023-06-01T13:00,Santacruz_AWS,19.1197,72.8468,0.0,0.0,1006.5,0,20.3,0.115
2023-06-01T14:00,Santacruz_AWS,19.1197,72.8468,0.0,0.0,1005.4,0,21.5,0.115
2023-06-01T15:00,Santacruz_AWS,19.1197,72.8468,0.0,0.0,1005.0,0,21.1,0.115
2023-06-01T16:00,Santacruz_AWS,19.1197,72.8468,0.0,0.0,1004.8,0,21.9,0.115
2023-06-01T17:00,Santacruz_AWS,19.1197,72.8468,0.0,0.0,1005.5,0,20.9,0.115
2023-06-01T18:00,Santacruz_AWS,19.1197,72.8468,0.0,0.0,1005.9,0,18.7,0.115
2023-06-01T19:00,Santacruz_AWS,19.1197,72.8468,0.0,0.0,1006.2,0,16.8,0.115
2023-06-01T20:00,Santacruz_AWS,19.1197,72.8468,0.0,0.0,1006.9,3,13.4,0.115
2023-06-01T21:00,Santacruz_AWS,19.1197,72.8468,0.0,0.0,1007.4,10,7.8,0.115
2023-06-01T22:00,Santacruz_AWS,19.1197,72.8468,0.0,0.0,1007.7,20,6.9,0.115
2023-06-01T23:00,Santacruz_AWS,19.1197,72.8468,0.0,0.0,1007.4,28,7.3,0.115
2023-06-02T00:00,Santacruz_AWS,19.1197,72.8468,0.0,0.0,1007.0,27,9.3,0.115
2023-06-02T01:00,Santacruz_AWS,19.1197,72.8468,0.0,0.0,1006.8,35,9.4,0.115
2023-06-02T02:00,Santacruz_AWS,19.1197,72.8468,0.0,0.0,1006.4,46,8.2,0.115
2023-06-02T03:00,Santacruz_AWS,19.1197,72.8468,0.0,0.0,1006.5,46,7.1,0.115
2023-06-02T04:00,Santacruz_AWS,19.1197,72.8468,0.0,0.0,1006.7,61,6.0,0.115
